Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Chevrolet Chevelle Malibu,18.0,8,307.0,130,3504,12.0,70,US
Buick Skylark 320,15.0,8,350.0,165,3693,11.5,70,US
Plymouth Satellite,18.0,8,318.0,150,3436,11.0,70,US
AMC Rebel SST,16.0,8,304.0,150,3433,12.0,70,US
Ford Torino,17.0,8,302.0,140,3449,10.5,70,US
Ford Galaxie 500,15.0,8,429.0,198,4341,10.0,70,US
Chevrolet Impala,14.0,8,454.0,220,4354,9.0,70,US
Plymouth Fury iii,14.0,8,440.0,215,4312,8.5,70,US
Pontiac Catalina,14.0,8,455.0,225,4425,10.0,70,US
AMC Ambassador DPL,15.0,8,390.0,190,3850,8.5,70,US
Chevrolet Chevelle Concours (sw),0.0,8,350.0,165,4142,11.5,70,US
Ford Torino (sw),0.0,8,351.0,153,4034,11.0,70,US
Plymouth Satellite (sw),0.0,8,383.0,175,4166,10.5,70,US
AMC Rebel SST (sw),0.0,8,360.0,175,3850,11.0,70,US
Dodge Challenger SE,15.0,8,383.0,170,3563,10.0,70,US
Plymouth 'Cuda 340,14.0,8,340.0,160,3609,8.0,70,US
Ford Mustang Boss 302,0.0,8,302.0,140,3353,8.0,70,US
Chevrolet Monte Carlo,15.0,8,400.0,150,3761,9.5,70,US
Buick Estate Wagon (sw),14.0,8,455.0,225,3086,10.0,70,US
Plymouth Duster,22.0,6,198.0,95,2833,15.5,70,US
AMC Hornet,18.0,6,199.0,97,2774,15.5,70,US
Ford Maverick,21.0,6,200.0,85,2587,16.0,70,US
AMC Gremlin,21.0,6,199.0,90,2648,15.0,70,US
Ford F250,10.0,8,360.0,215,4615,14.0,70,US
Chevy C20,10.0,8,307.0,200,4376,15.0,70,US
Dodge D200,11.0,8,318.0,210,4382,13.5,70,US
Hi 1200D,9.0,8,304.0,193,4732,18.5,70,US
Chevrolet Vega 2300,28.0,4,140.0,90,2264,15.5,71,US
Ford Pinto,25.0,4,98.0,0,2046,19.0,71,US
AMC Gremlin,19.0,6,232.0,100,2634,13.0,71,US
Plymouth Satellite Custom,16.0,6,225.0,105,3439,15.5,71,US
Chevrolet Chevelle Malibu,17.0,6,250.0,100,3329,15.5,71,US
Ford Torino 500,19.0,6,250.0,88,3302,15.5,71,US
AMC Matador,18.0,6,232.0,100,3288,15.5,71,US
Chevrolet Impala,14.0,8,350.0,165,4209,12.0,71,US
Pontiac Catalina Brougham,14.0,8,400.0,175,4464,11.5,71,US
Ford Galaxie 500,14.0,8,351.0,153,4154,13.5,71,US
Plymouth Fury iii,14.0,8,318.0,150,4096,13.0,71,US
Dodge Monaco (sw),12.0,8,383.0,180,4955,11.5,71,US
Ford Country Squire (sw),13.0,8,400.0,170,4746,12.0,71,US
Pontiac Safari (sw),13.0,8,400.0,175,5140,12.0,71,US
AMC Hornet Sportabout (sw),18.0,6,258.0,110,2962,13.5,71,US
Chevrolet Vega (sw),22.0,4,140.0,72,2408,19.0,71,US
Pontiac Firebird,19.0,6,250.0,100,3282,15.0,71,US
Ford Mustang,18.0,6,250.0,88,3139,14.5,71,US
Mercury Capri 2000,23.0,4,122.0,86,2220,14.0,71,US
Plymouth Cricket,26.0,4,91.0,70,1955,20.5,71,US
Dodge Colt Hardtop,25.0,4,97.5,80,2126,17.0,72,US
Chevrolet Vega,20.0,4,140.0,90,2408,19.5,72,US
Ford Pinto Runabout,21.0,4,122.0,86,2226,16.5,72,US
Chevrolet Impala,13.0,8,350.0,165,4274,12.0,72,US
Pontiac Catalina,14.0,8,400.0,175,4385,12.0,72,US
Plymouth Fury III,15.0,8,318.0,150,4135,13.5,72,US
Ford Galaxie 500,14.0,8,351.0,153,4129,13.0,72,US
AMC Ambassador SST,17.0,8,304.0,150,3672,11.5,72,US
Mercury Marquis,11.0,8,429.0,208,4633,11.0,72,US
Buick LeSabre Custom,13.0,8,350.0,155,4502,13.5,72,US
Oldsmobile Delta 88 Royale,12.0,8,350.0,160,4456,13.5,72,US
Chrysler Newport Royal,13.0,8,400.0,190,4422,12.5,72,US
AMC Matador (sw),15.0,8,304.0,150,3892,12.5,72,US
Chevrolet Chevelle Concours (sw),13.0,8,307.0,130,4098,14.0,72,US
Ford Gran Torino (sw),13.0,8,302.0,140,4294,16.0,72,US
Plymouth Satellite Custom (sw),14.0,8,318.0,150,4077,14.0,72,US
Ford Pinto (sw),22.0,4,122.0,86,2395,16.0,72,US
Dodge Colt (sw),28.0,4,98.0,80,2164,15.0,72,US
Buick Century 350,13.0,8,350.0,175,4100,13.0,73,US
AMC Matador,14.0,8,304.0,150,3672,11.5,73,US
Chevrolet Malibu,13.0,8,350.0,145,3988,13.0,73,US
Ford Gran Torino,14.0,8,302.0,137,4042,14.5,73,US
Dodge Coronet Custom,15.0,8,318.0,150,3777,12.5,73,US
Mercury Marquis Brougham,12.0,8,429.0,198,4952,11.5,73,US
Chevrolet Caprice Classic,13.0,8,400.0,150,4464,12.0,73,US
Ford LTD,13.0,8,351.0,158,4363,13.0,73,US
Plymouth Fury Gran Sedan,14.0,8,318.0,150,4237,14.5,73,US
Chrysler New Yorker Brougham,13.0,8,440.0,215,4735,11.0,73,US
Buick Electra 225 Custom,12.0,8,455.0,225,4951,11.0,73,US
AMC Ambassador Brougham,13.0,8,360.0,175,3821,11.0,73,US
Plymouth Valiant,18.0,6,225.0,105,3121,16.5,73,US
Chevrolet Nova Custom,16.0,6,250.0,100,3278,18.0,73,US
AMC Hornet,18.0,6,232.0,100,2945,16.0,73,US
Ford Maverick,18.0,6,250.0,88,3021,16.5,73,US
